Reaktionen;X;Y
755;27.559;92.782
736;28.687;97.422
729;29.242;99.705
737;29.797;101.989
736;30.925;106.629
841;32.005;91.701
623;32.991;95.758
653;33.18;96.537
660;34.03;100.034
627;34.219;100.812
848;34.823;91.016
581;34.877;95.686
761;35.37;105.548
600;35.928;100.01
634;36.286;95.343
581;36.924;97.967
608;37.345;99.665
756;37.613;105.003
851;37.64;90.33
675;37.75;101.368
686;38.01;94.923
475;39.05;99.251
744;39.556;104.531
737;39.735;94.502
539;40.373;97.128
832;40.458;89.645
784;41.532;94.065
641;41.612;98.628
770;41.837;95.318
757;42.171;96.691
739;42.584;98.392
755;42.998;100.092
709;43.42;101.829
751;43.636;88.874
655;43.824;103.493
532;44.558;106.299
751;46.467;91.968
740;46.703;92.94
641;46.805;88.104
751;47.438;91.732
740;47.675;92.704
888;48.546;100.511
898;48.782;101.482
882;49.517;100.274
893;49.753;101.246
554;49.982;87.331
627;49.999;104.977
630;51.763;90.681
620;51.999;91.652
614;52.734;90.445
603;52.97;91.416
573;54.745;86.174
512;55.045;79.482
586;55.431;103.656
706;56.457;99.408
706;56.738;98.448
502;57.245;90.16
718;57.428;99.171
655;57.594;82.573
532;57.526;89.2
687;58.132;76.937
492;58.216;89.924
759;59.498;84.98
667;59.854;98.144
563;60.111;89.463
683;60.392;88.503
584;60.835;79.901
382;60.873;102.334
685;61.083;89.227
754;61.237;74.377
508;62.127;78.835
503;62.196;81.552
560;63.049;82.622
719;63.278;96.193
386;63.555;80.432
737;63.907;77.367
856;64.145;86.361
671;64.343;71.816
449;64.442;79.7
631;64.716;84.608
682;65.62;75.955
504;65.714;81.243
553;65.87;78.523
558;66.066;83.495
709;66.551;94.149
584;66.953;74.856
555;67.142;80.066
482;67.429;69.272
734;67.586;85.338
622;67.607;78.84
574;68.145;73.873
652;68.493;92.548
707;69.187;84.018
661;69.833;81.541
660;69.922;76.932
569;69.978;72.362
614;70.577;90.83
666;70.788;82.698
667;72.198;75.055
578;72.604;89.159
641;72.663;79.581
628;72.828;80.567
620;73.6;79.931
587;75.261;87.289
624;75.489;72.406
604;75.427;88.275
485;75.874;93.124
587;76.198;87.639
715;77.084;75.936
719;77.249;76.922
705;78.021;76.286
569;78.812;69.683
562;80.524;89.29
750;81.722;81.962
747;81.887;82.948
509;82.118;66.94
557;82.809;87.406
770;82.659;82.312
702;83.544;70.614
702;83.709;71.6
706;84.481;70.964
562;85.066;85.612
439;85.494;64.157
747;86.142;78.317
764;86.307;79.304
615;87.004;87.442
589;86.994;84.022
745;87.079;78.668
520;88.076;67.103
521;88.585;67.721
646;88.923;82.431
668;89.029;89.342
562;89.858;67.221
731;90.439;81.181
785;90.848;84.251
685;91.21;91.387
659;91.487;73.91
683;91.652;74.896
885;92.415;85.73
689;92.56;92.652
687;92.424;74.26
737;92.656;79.355
701;93.06;64.581
604;93.214;89.249
805;93.749;84.308
568;94.174;80.732
646;94.564;90.514
743;94.872;77.528
530;94.989;83.552
669;95.17;95.099
764;95.583;89.427
574;95.908;70.265
788;96.262;61.941
600;96.073;71.251
582;96.809;85.288
600;96.845;70.615
711;97.278;87.617
765;97.325;91.06
792;97.733;80.21
635;97.738;97.52
651;97.969;75.013
632;98.586;74.504
574;98.682;87.021
744;99.063;92.693
826;99.464;59.301
770;99.757;82.032
733;100.316;66.631
762;100.481;67.617
708;100.761;94.295
549;101.221;87.897
749;101.252;66.981
740;101.508;83.673
717;101.581;93.42
566;101.838;87.388
619;101.94;78.09
654;102.105;79.076
797;102.666;56.661
639;102.876;78.44
701;103.444;85.571
626;103.943;70.064
641;105.149;70.99
554;105.591;68.706
717;105.868;54.021
649;105.988;81.886
576;106.341;88.232
658;106.379;71.881
705;106.154;82.872
671;106.82;67.674
691;106.925;82.236
667;107.44;60.858
502;107.49;89.309
691;108.077;61.629
688;108.211;60.221
698;108.315;73.283
770;108.68;66.14
712;108.848;60.992
731;108.931;68.358
640;108.99;51.447
625;109.282;71.965
560;109.758;86.9
746;110.026;74.523
635;110.376;50.454
824;110.514;64.628
796;111.679;75.721
639;111.802;70.438
649;112.052;84.448
619;112.31;56.971
617;112.82;57.589
639;112.975;68.818
873;113.184;66.562
656;113.298;71.524
626;114.002;55.998
779;113.972;61.777
837;114.049;77.437
707;114.231;72.198
758;114.347;81.995
610;114.471;69.904
628;115.199;55.007
674;115.582;72.806
875;116.411;68.899
623;116.397;54.016
844;116.501;79.214
587;117.056;59.169
830;117.264;64.207
584;118.631;48.418
903;118.951;75.833
883;119.05;70.811
544;119.675;53.207
370;120.097;56.662
825;120.575;66.611
898;121.371;72.492
794;123.89;69.007
